                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96541,                 1.8679,                 1.2212,                0.64063,                 0.8646,                0.88802,                0.62588,                 1.3959,                 1.3058,                 1.2532,                      0,                      0,                      0
                      2,                0.86871,                 1.8929,                 1.2483,                0.63013,                0.87763,                 0.8879,                0.61378,                 1.4182,                 1.3279,                 1.2606,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                0.83047,                 1.4874,                 1.2611,                0.58198,                0.83333,                 0.8739,                0.60898,                 1.4465,                 1.3476,                 1.2696,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.92986,                 2.4374,                 1.3526,                0.57217,                0.83333,                0.87407,                0.59993,                 1.4602,                 1.3814,                 1.2701,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                 1.1188,                 3.1791,                 1.4868,                0.63062,                0.83333,                0.87287,                0.61193,                  1.481,                 1.3963,                 1.2767,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.72034,                  1.806,                    1.1,                0.63801,                0.83333,                0.88027,                0.60813,                 1.4941,                 1.4276,                 1.2816,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                 1.1277,                 1.9103,                 1.3251,                0.69887,                   0.75,                0.89223,                0.60584,                 1.5074,                 1.4634,                 1.2843,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.0344,                 1.8787,                 1.2279,                0.70112,                   0.75,                0.89371,                0.62247,                 1.5222,                 1.4918,                 1.2913,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                0.92907,                 2.0478,                 1.2435,                0.70847,                   0.75,                0.89253,                0.62515,                 1.5189,                  1.533,                 1.2927,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                 1.1264,                 2.1421,                  1.357,                0.70691,                   0.75,                0.87859,                0.61105,                 1.4984,                 1.5247,                 1.2885,             1.1674e-06,             1.1674e-06,             1.1674e-06
