                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5205,                 4.0755,                 1.8119,                0.60522,                0.87035,                0.88782,                0.61776,                 1.3868,                 1.3276,                 1.2518,                      0,                      0,                      0
                      2,                0.80697,                 3.8326,                 1.2388,                0.55719,                0.83333,                0.87354,                0.61083,                 1.3987,                  1.358,                 1.2597,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 0.9559,                  2.493,                 1.2967,                 0.5426,                0.83333,                0.87247,                0.62079,                  1.411,                 1.3733,                 1.2657,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.146,                 2.7512,                 1.4564,                0.53757,                0.83333,                0.87087,                0.61006,                 1.4399,                  1.404,                  1.275,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.74391,                 2.2879,                 1.1924,                 0.5528,                0.83333,                0.87064,                0.60818,                 1.4496,                 1.4403,                 1.2823,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.98932,                  2.375,                 1.2195,                0.58014,                0.83333,                0.88453,                  0.593,                  1.472,                   1.49,                 1.2991,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.0373,                 2.5123,                 1.3775,                0.81372,                0.56826,                0.88571,                0.57884,                 1.4988,                  1.541,                 1.3147,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.2743,                 2.7275,                 1.6097,                0.80281,                0.57607,                0.88237,                0.55297,                 1.5099,                  1.607,                 1.3286,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1397,                 2.4946,                 1.3915,                0.78918,                0.58333,                0.88214,                0.56131,                  1.519,                  1.669,                 1.3392,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1561,                 2.2514,                 1.3937,                0.78036,                0.58333,                0.77611,                 0.5543,                 1.5267,                 1.7044,                 1.3488,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.95283,                 2.4118,                 1.3154,                0.77504,                0.58333,                0.77149,                0.55344,                 1.5116,                 1.7392,                 1.3489,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.95014,                 1.7707,                 1.2761,                0.77005,                0.58333,                0.74238,                0.54023,                 1.4947,                 1.7488,                 1.3432,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.97083,                 2.1217,                 1.4759,                0.75054,                0.58333,                0.74224,                0.52365,                 1.4863,                 1.7718,                 1.3433,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.1751,                 3.0162,                 1.4584,                0.73374,                0.58333,                0.74388,                0.52415,                 1.5027,                 1.8038,                 1.3503,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.96429,                 1.7561,                 1.3428,                0.75812,                0.58333,                0.74373,                0.52416,                 1.4877,                  1.838,                 1.3457,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.91432,                 2.2137,                 1.3036,                0.78705,                0.41667,                0.74262,                0.53369,                 1.4903,                 1.8435,                 1.3508,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.69901,                 2.0312,                 1.1875,                0.93949,                  0.378,                0.74133,                0.53279,                 1.4866,                 1.8738,                 1.3498,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1022,                 2.1575,                 1.4276,                0.93949,                  0.378,                0.74133,                0.53279,                 1.4866,                 1.8738,                 1.3498,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.8581,                 1.6432,                 2.2539,                0.93877,                0.37718,                0.63173,                 0.5001,                 1.5194,                   1.94,                 1.3677,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.76949,                 1.6295,                 1.2366,                0.93877,                0.37718,                0.63173,                 0.5001,                 1.5194,                   1.94,                 1.3677,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.0083,                 1.6873,                 1.2725,                0.93854,                0.37449,                0.63079,                0.48435,                 1.5371,                 2.0576,                 1.3853,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.94962,                 2.3942,                 1.2912,                0.93854,                0.37449,                0.63079,                0.48435,                 1.5371,                 2.0576,                 1.3853,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.89107,                 1.4433,                 1.2646,                 0.9363,                0.37337,                0.61725,                0.46287,                 1.5716,                 2.1228,                 1.4244,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.3143,                 2.2594,                 1.6268,                 0.9363,                0.37337,                0.61725,                0.46287,                 1.5716,                 2.1228,                 1.4244,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.94771,                  1.852,                 1.3303,                0.93083,                0.37339,                0.61728,                0.46697,                  1.601,                 2.1636,                 1.4378,             2.1774e-05,             2.1774e-05,             2.1774e-05
